timestamp,location-long,location-lat,manually-marked-outlier,individual-taxon-canonical-name,utm-easting,utm-northing
10/27/2007,23.5646057,-19.4134971,,Equus burchellii,769321.2811,7851414.589
10/27/2007,23.7031479,-19.4695627,,Equus burchellii,783780.9218,7844982.753
10/27/2007,23.7029786,-19.4699761,,Equus burchellii,783762.4176,7844937.249
10/27/2007,23.5682738,-19.417842,,Equus burchellii,769699.5134,7850927.693
10/27/2007,23.7067307,-19.472691,,Equus burchellii,784151.8092,7844630.367
10/27/2007,23.5804381,-19.4248186,,Equus burchellii,770966.0087,7850135.993
10/27/2007,23.6029604,-19.4316284,,Equus burchellii,773320.8916,7849346.237
10/27/2007,23.7068136,-19.4726887,,Equus burchellii,784160.5212,7844630.484
10/27/2007,23.70628,-19.4717259,,Equus burchellii,784106.1515,7844737.998
10/27/2007,23.6313611,-19.4386228,,Equus burchellii,776292.8649,7848526.27
10/27/2007,23.6500112,-19.4424109,,Equus burchellii,778245.7534,7848076.679
10/27/2007,23.7062787,-19.4714757,,Equus burchellii,784106.4516,7844765.71
10/27/2007,23.6661144,-19.4487863,,Equus burchellii,779926.5646,7847344.479
10/27/2007,23.707182,-19.4719432,,Equus burchellii,784200.5196,7844712.439
10/27/2007,23.7113631,-19.473874,,Equus burchellii,784636.3329,7844491.674
10/27/2007,23.6794722,-19.4501505,,Equus burchellii,781327.5013,7847171.584
10/27/2007,23.6885657,-19.4506886,,Equus burchellii,782281.8773,7847097.077
10/27/2007,23.7114139,-19.4738435,,Equus burchellii,784641.7223,7844494.967
10/27/2007,23.7083359,-19.4754659,,Equus burchellii,784315.5743,7844320.387
10/27/2007,23.703285,-19.4553413,,Equus burchellii,783820.1015,7846557.545
10/27/2007,23.7075682,-19.4734705,,Equus burchellii,784238.42,7844542.65
10/27/2007,23.728861,-19.4589532,,Equus burchellii,786500.5793,7846115.066
10/28/2007,23.6829521,-19.450994,,Equus burchellii,781691.6201,7847072.467
10/28/2007,23.7552816,-19.4693654,,Equus burchellii,789257.6279,7844917.592
10/28/2007,23.7060752,-19.473031,,Equus burchellii,784082.3616,7844593.797
10/28/2007,23.7059731,-19.4718883,,Equus burchellii,784073.6309,7844720.52
10/28/2007,23.6852583,-19.4508934,,Equus burchellii,781934.0682,7847079.826
10/28/2007,23.7718311,-19.4894609,,Equus burchellii,790960.1682,7842663.944
10/28/2007,23.7014066,-19.4528625,,Equus burchellii,783627.0863,7846835.174
10/28/2007,23.7079125,-19.4713455,,Equus burchellii,784278.2961,7844777.425
10/28/2007,23.7958934,-19.5098242,,Equus burchellii,793450.7933,7840367.564
10/28/2007,23.7078306,-19.4713836,,Equus burchellii,784269.6266,7844773.341
10/28/2007,23.8179408,-19.5259907,,Equus burchellii,795736.8472,7838539.067
10/28/2007,23.7136921,-19.4568523,,Equus burchellii,784910.7486,7846372.974
10/28/2007,23.8319379,-19.5403138,,Equus burchellii,797180.5074,7836928.398
10/28/2007,23.7062202,-19.4709812,,Equus burchellii,784101.1696,7844820.573
10/28/2007,23.7351042,-19.4648906,,Equus burchellii,787145.97,7845447.06
10/28/2007,23.8388344,-19.5524674,,Equus burchellii,797882.3477,7835570.262
10/28/2007,23.7366298,-19.466397,,Equus burchellii,787303.5735,7845277.671
10/28/2007,23.705469,-19.4703937,,Equus burchellii,784023.2869,7844886.881
10/28/2007,23.7366789,-19.4664184,,Equus burchellii,787308.6936,7845275.219
10/28/2007,23.8376404,-19.5563405,,Equus burchellii,797749.8627,7835143.355
10/28/2007,23.7051417,-19.4700451,,Equus burchellii,783989.5146,7844926.03
10/28/2007,23.7367563,-19.4664312,,Equus burchellii,787316.8016,7845273.672
10/28/2007,23.8377426,-19.5580561,,Equus burchellii,797757.4402,7834953.156
10/28/2007,23.70617,-19.4703875,,Equus burchellii,784096.9324,7844886.408
10/28/2007,23.738774,-19.4674978,,Equus burchellii,787526.8718,7845152.165
10/28/2007,23.8376952,-19.5580849,,Equus burchellii,797752.4105,7834950.049
10/28/2007,23.7064971,-19.4706834,,Equus burchellii,784130.7754,7844853.096
10/28/2007,23.836984,-19.5572568,,Equus burchellii,797679.26,7835043.009
10/28/2007,23.7395033,-19.4679597,,Equus burchellii,787602.6664,7845099.787
10/28/2007,23.7064299,-19.4703775,,Equus burchellii,784124.2504,7844887.085
10/28/2007,23.8362373,-19.5560232,,Equus burchellii,797603.1261,7835180.943
10/28/2007,23.7066226,-19.4706989,,Equus burchellii,784143.9311,7844851.171
10/28/2007,23.7400402,-19.4684339,,Equus burchellii,787658.228,7845046.369
10/28/2007,23.7400211,-19.4684627,,Equus burchellii,787656.1707,7845043.211
10/28/2007,23.8360632,-19.555754,,Equus burchellii,797585.3407,7835211.063
10/28/2007,23.7065167,-19.4707272,,Equus burchellii,784132.7578,7844848.212
10/28/2007,23.7404708,-19.4683133,,Equus burchellii,787703.6738,7845059.004
10/28/2007,23.8360867,-19.5553876,,Equus burchellii,797588.4811,7835251.605
10/28/2007,23.7063614,-19.4710036,,Equus burchellii,784115.9624,7844817.858
10/28/2007,23.8360997,-19.5548445,,Equus burchellii,797590.8435,7835311.736
10/28/2007,23.7053016,-19.4705793,,Equus burchellii,784005.3791,7844866.603
10/28/2007,23.7404171,-19.4686465,,Equus burchellii,787697.4441,7845022.191
10/28/2007,23.7027855,-19.4699399,,Equus burchellii,783742.197,7844941.577
10/28/2007,23.8361192,-19.5547945,,Equus burchellii,797592.9828,7835317.24
10/28/2007,23.7402421,-19.4687755,,Equus burchellii,787678.8332,7845008.197
10/28/2007,23.8363056,-19.5576687,,Equus burchellii,797607.2747,7834998.568
10/28/2007,23.7403652,-19.4687518,,Equus burchellii,787691.8062,7845010.616
10/28/2007,23.7019326,-19.4708411,,Equus burchellii,783651.0364,7844843.179
10/28/2007,23.6938917,-19.4711049,,Equus burchellii,782805.95,7844827.23
10/28/2007,23.7413233,-19.4687515,,Equus burchellii,787792.4511,7845009.043
10/28/2007,23.8353361,-19.5590775,,Equus burchellii,797502.8952,7834844.217
10/28/2007,23.7415558,-19.4694784,,Equus burchellii,787815.5893,7844928.147
10/28/2007,23.8381052,-19.5638363,,Equus burchellii,797784.8847,7834312.306
10/28/2007,23.6708183,-19.4583799,,Equus burchellii,780404.2204,7846274.343
10/28/2007,23.7416747,-19.4695241,,Equus burchellii,787827.9984,7844922.887
10/28/2007,23.6515963,-19.4480342,,Equus burchellii,778402.6773,7847451.355
10/28/2007,23.8570202,-19.5769676,,Equus burchellii,799746.4861,7832824.777
10/28/2007,23.6436394,-19.4419175,,Equus burchellii,777577.1946,7848141.622
10/28/2007,23.741727,-19.4695339,,Equus burchellii,787833.475,7844921.713
10/28/2007,23.877263,-19.5932122,,Equus burchellii,801841.3504,7830989.798
10/28/2007,23.8960509,-19.6049634,,Equus burchellii,803791.5267,7829654.822
10/28/2007,23.741826,-19.470051,,Equus burchellii,787842.9603,7844864.277
10/28/2007,23.6417803,-19.44168,,Equus burchellii,777382.288,7848170.924
10/28/2007,23.7437306,-19.4730194,,Equus burchellii,788037.7772,7844532.324
10/28/2007,23.6324198,-19.4384185,,Equus burchellii,776404.4359,7848547.194
10/28/2007,23.9146196,-19.6311731,,Equus burchellii,805691.0354,7826718.46
10/28/2007,23.9227961,-19.6516933,,Equus burchellii,806510.1731,7824430.782
10/28/2007,23.6396371,-19.4403126,,Equus burchellii,777159.4547,7848325.814
10/28/2007,23.7437899,-19.4743258,,Equus burchellii,788041.6945,7844387.536
10/28/2007,23.9387729,-19.6653856,,Equus burchellii,808160.5894,7822885.229
10/28/2007,23.7421215,-19.474125,,Equus burchellii,787866.7971,7844412.575
10/28/2007,23.641386,-19.4401964,,Equus burchellii,777343.3871,7848335.862
10/29/2007,23.9605294,-19.6787388,,Equus burchellii,810417.8064,7821366.494
10/29/2007,23.6425898,-19.4405041,,Equus burchellii,777469.3319,7848299.844
10/29/2007,23.7406473,-19.4742147,,Equus burchellii,787711.7851,7844405.112
10/29/2007,23.9890919,-19.6946838,,Equus burchellii,813383.6807,7819547.766
10/29/2007,23.6425332,-19.4406574,,Equus burchellii,777463.1249,7848282.958
10/29/2007,23.7404228,-19.4737162,,Equus burchellii,787689.0842,7844460.699
10/29/2007,23.6428025,-19.4409774,,Equus burchellii,777490.8723,7848247.085
10/29/2007,24.0139254,-19.7142173,,Equus burchellii,186970.9409,7817389.543
10/29/2007,23.7400302,-19.4737267,,Equus burchellii,787647.8259,7844460.194
10/29/2007,23.6423456,-19.4403576,,Equus burchellii,777443.9261,7848316.462
10/29/2007,24.0294965,-19.7273756,,Equus burchellii,188629.9169,7815960.637
10/29/2007,23.7399398,-19.4741166,,Equus burchellii,787637.6411,7844417.163
10/29/2007,23.6414891,-19.4402523,,Equus burchellii,777354.1235,7848329.505
10/29/2007,24.0428182,-19.7362703,,Equus burchellii,190044.4568,7814999.781
10/29/2007,23.739382,-19.4740438,,Equus burchellii,787579.1772,7844426.161
10/29/2007,24.0457519,-19.7361672,,Equus burchellii,190351.9641,7815016.566
10/29/2007,23.6351774,-19.4381855,,Equus burchellii,776694.5395,7848568.563
10/29/2007,23.7374266,-19.4700358,,Equus burchellii,787380.8528,7844873.332
10/29/2007,23.7345525,-19.4699275,,Equus burchellii,787079.1351,7844890.135
10/29/2007,23.6243,-19.4355949,,Equus burchellii,775556.157,7848872.923
10/29/2007,24.0452681,-19.7352024,,Equus burchellii,190299.3571,7815122.554
10/29/2007,24.0471132,-19.7353487,,Equus burchellii,190493.167,7815109.72
10/29/2007,23.7345591,-19.4699568,,Equus burchellii,787079.7767,7844886.879
10/29/2007,23.623672,-19.4349705,,Equus burchellii,775491.2341,7848943.078
10/29/2007,23.6131707,-19.4205,,Equus burchellii,774412.3017,7850562.376
10/29/2007,23.7330087,-19.4690789,,Equus burchellii,786918.4627,7844986.7
10/29/2007,24.0494028,-19.7354832,,Equus burchellii,190733.5758,7815099.003
